frame_idx,timestamp,az,el
406,00:40:55.238900,-1.9669421,1.3836834
407,00:40:55.254588,-1.971917,1.3860633
408,00:40:55.271093,-1.9596413,1.385602
409,00:40:55.288252,-1.9633886,1.3918014
410,00:40:55.305648,-1.9572384,1.3944588
411,00:40:55.322696,-1.9597225,1.3840826
412,00:40:55.339974,-1.9609137,1.3805377
413,00:40:55.357191,-1.9621136,1.3882117
414,00:40:55.374929,-1.9658917,1.3903457
415,00:40:55.392491,-1.967675,1.3811693
416,00:40:55.410220,-1.9555955,1.396382
417,00:40:55.428550,-1.9731646,1.3906399
418,00:40:55.446404,-1.97075,1.3848606
419,00:40:55.465065,-1.9639018,1.383122
420,00:40:55.483357,-1.9740871,1.3725908
421,00:40:55.501448,-1.9537164,1.3934252
422,00:40:55.519164,-1.9648817,1.3776097
423,00:40:55.537737,-1.9747351,1.3578508
424,00:40:55.555763,-1.9666069,1.3806567
425,00:40:55.574090,-1.9629657,1.3834729
426,00:40:55.591652,-1.9562728,1.3892483
427,00:40:55.608637,-1.9629712,1.390641
428,00:40:55.650010,-1.9850346,1.3831834
429,00:40:55.667538,-1.967573,1.3794726
430,00:40:55.685265,-1.9586078,1.3793184
431,00:40:55.704076,-1.9473692,1.3891846
432,00:40:55.723510,-1.9525374,1.3795171
433,00:40:55.742186,-1.970828,1.3869216
434,00:40:55.760083,-1.9666435,1.3745229
435,00:40:55.778400,-1.9720252,1.3917675
436,00:40:55.796953,-1.9861662,1.3889322
437,00:40:55.815390,-1.9732776,1.3825717
438,00:40:55.833587,-1.9685214,1.3789787
439,00:40:55.851561,-1.9645195,1.3902614
440,00:40:55.868078,-1.9747407,1.3822485
441,00:40:55.886026,-1.9692504,1.3779128
442,00:40:55.904623,-1.964015,1.3922285
443,00:40:55.923851,-1.9964793,1.3719201
444,00:40:55.941070,-1.9658843,1.3814007
445,00:40:55.958982,-1.9706321,1.382539
446,00:40:55.976802,-1.9867711,1.3730531
447,00:40:55.994111,-1.9804513,1.3802366
448,00:40:56.011681,-1.9747844,1.3991057
449,00:40:56.029707,-1.9777524,1.3711213
450,00:40:56.047474,-1.9649277,1.3911265
451,00:40:56.064967,-1.9627465,1.3911328
452,00:40:56.083136,-1.9713892,1.3790039
453,00:40:56.100152,-1.9687524,1.3865123
454,00:40:56.117432,-1.9601831,1.3873701
455,00:40:56.135283,-1.9454674,1.4014928
456,00:40:56.152744,-1.9598575,1.3869319
457,00:40:56.170746,-1.9583179,1.3915126
458,00:40:56.188872,-1.9689636,1.3938537
459,00:40:56.206742,-1.9663953,1.3827448
460,00:40:56.225595,-1.9623812,1.3790605
461,00:40:56.243266,-1.9541466,1.3858219
462,00:40:56.261091,-1.9630163,1.3847803
463,00:40:56.279074,-1.9524989,1.3881468
464,00:40:56.297053,-1.9611254,1.3929769
465,00:40:56.314656,-1.9647472,1.3900366
466,00:40:56.331845,-1.9511987,1.388541
467,00:40:56.349322,-1.9650271,1.3942697
468,00:40:56.366975,-1.9705966,1.3852003
469,00:40:56.384865,-1.9597737,1.3826857
470,00:40:56.403651,-1.9515023,1.385705
471,00:40:56.422563,-1.9517096,1.3929503
472,00:40:56.440950,-1.9515349,1.3874567
473,00:40:56.457943,-1.9729189,1.3796452
474,00:40:56.475735,-1.9633465,1.3804665
475,00:40:56.493516,-1.966164,1.3995153
476,00:40:56.510800,-1.9520307,1.3960209
477,00:40:56.528425,-1.9548358,1.3962824
478,00:40:56.546308,-1.9635615,1.3980364
479,00:40:56.564747,-1.9805243,1.3853538
480,00:40:56.582687,-1.9664198,1.3787687
481,00:40:56.600606,-1.9856881,1.3793354
482,00:40:56.618956,-1.967063,1.3950274
483,00:40:56.637743,-1.9622806,1.3991456
484,00:40:56.655901,-1.9638536,1.3892025
485,00:40:56.673672,-1.9689162,1.3813086
486,00:40:56.691662,-1.9705435,1.3832605
487,00:40:56.709436,-1.97183,1.3841565
488,00:40:56.727613,-1.9646823,1.4046682
489,00:40:56.745672,-1.973399,1.3855699
490,00:40:56.765271,-1.9777787,1.383175
491,00:40:56.783802,-1.9649582,1.3870329
492,00:40:56.803147,-1.9607176,1.3886238
493,00:40:56.821210,-1.9521756,1.3891716
494,00:40:56.839092,-1.9667716,1.3872122
495,00:40:56.856921,-1.957553,1.379183
496,00:40:56.874916,-1.9508288,1.3791177
497,00:40:56.893129,-1.9582639,1.3866906
498,00:40:56.910448,-1.9760338,1.3965087
499,00:40:56.927976,-1.9579965,1.4017903
500,00:40:56.945586,-1.9630922,1.388734
501,00:40:56.963898,-1.9492314,1.388229
502,00:40:56.981802,-1.9601983,1.3827574
503,00:40:56.999607,-1.9559733,1.3964539
504,00:40:57.017566,-1.9669926,1.3919878
